,title,price,year,link,type,color,age
182,gt windstream ladies hybrid,160,,https://richmond.craigslist.org/bik/d/mechanicsville-gt-windstream-ladies/7822540300.html,missing,missing,
183,"masi  51cm (20"")  brand new !",400,,https://richmond.craigslist.org/bik/d/mechanicsville-masi-51cm-20-brand-new/7822597732.html,missing,missing,
184,trek gary fisher napa ladies s/m,160,,https://richmond.craigslist.org/bik/d/mechanicsville-trek-gary-fisher-napa/7823073949.html,missing,missing,
185,specialized roll comp x-1 low entry large,400,,https://richmond.craigslist.org/bik/d/mechanicsville-specialized-roll-comp-1/7824140433.html,missing,missing,
186,giant recon se large frame,245,,https://lancaster.craigslist.org/bik/d/lancaster-giant-recon-se-large-frame/7823575071.html,missing,missing,
187,giant revive dx recumbent bicycle,295,,https://lancaster.craigslist.org/bik/d/lancaster-giant-revive-dx-recumbent/7823575095.html,missing,missing,
188,trek 7200 multitrack hybrid bike,245,,https://lancaster.craigslist.org/bik/d/lancaster-trek-7200-multitrack-hybrid/7823575119.html,missing,missing,
189,"allen bike rear hitch rack, folds flat, good condition",35,,https://harrisburg.craigslist.org/bik/d/palmyra-allen-bike-rear-hitch-rack/7822952334.html,missing,missing,
190,free spirit dynasty * l/xl * fully serviced,180,,https://raleigh.craigslist.org/bik/d/raleigh-free-spirit-dynasty-xl-fully/7823573839.html,missing,missing,
191,american-made huffy sahara * all-terrain 10 speed * fully serviced,110,,https://raleigh.craigslist.org/bik/d/raleigh-american-made-huffy-sahara-all/7822510406.html,missing,missing,
192,raleigh-usa m55 * large * fully serviced,200,,https://raleigh.craigslist.org/bik/d/raleigh-raleigh-usa-m55-large-fully/7822511211.html,missing,missing,
193,"26"" lightweight aluminum electra cruiser 3 speed beach cruiser",150,,https://norfolk.craigslist.org/bik/d/chesapeake-26-lightweight-aluminum/7823514887.html,beach,missing,
194,2021 schwinn sting - ray orange and coal krates,900,2021.0,https://norfolk.craigslist.org/bik/d/chesapeake-2021-schwinn-sting-ray/7819495814.html,missing,orange,4.0
195,"29"" r4 limited edition bmx mag alloy wheels",210,,https://norfolk.craigslist.org/bik/d/chesapeake-29-r4-limited-edition-bmx/7819496105.html,bmx,missing,
196,"20"" kent westport adult folding tricycle",160,,https://norfolk.craigslist.org/bik/d/chesapeake-20-kent-westport-adult/7818230479.html,missing,missing,
197,20104brand new 1000w e bike fat tire,1300,2010.0,https://washingtondc.craigslist.org/nva/bik/d/ashburn-20104brand-new-1000w-bike-fat/7824138085.html,missing,missing,15.0
198,schwinn aerostar * bmx * fully serviced,100,,https://raleigh.craigslist.org/bik/d/raleigh-schwinn-aerostar-bmx-fully/7824137339.html,bmx,missing,
199,full suspension polygon siskiu collosus xl 29ner,1650,,https://baltimore.craigslist.org/bik/d/glen-burnie-full-suspension-polygon/7817754363.html,missing,missing,
200,polygon collosus n7,1650,,https://annapolis.craigslist.org/bik/d/glen-burnie-polygon-collosus-n7/7822122242.html,missing,missing,
201,schwinn high timber * s/med * fully serviced,200,,https://raleigh.craigslist.org/bik/d/raleigh-schwinn-high-timber-med-fully/7819534783.html,missing,missing,
202,"firmstrong urban 26"" seven speed, red",150,,https://delaware.craigslist.org/bik/d/dover-firmstrong-urban-26-seven-speed/7824135827.html,missing,red,
203,schwinn frontier gsx *  x-large * fully serviced,250,,https://raleigh.craigslist.org/bik/d/raleigh-schwinn-frontier-gsx-large/7824135283.html,missing,missing,
204,"26"" performance aurora 21-speed mountain bike / bicycle",120,,https://raleigh.craigslist.org/bik/d/clayton-26-performance-aurora-21-speed/7821347000.html,mountain,missing,
205,crimson red trek multitrack 730 gravel bike (48 cm) made in the usa,290,,https://washingtondc.craigslist.org/mld/bik/d/baltimore-crimson-red-trek-multitrack/7817062746.html,missing,red,
206,(1) giant cypress bicycle  (recently serviced!!),245,,https://lancaster.craigslist.org/bik/d/lancaster-giant-cypress-bicycle/7819617339.html,missing,missing,
207,"lynskey gr300 titanium di2, size large, new",3200,,https://raleigh.craigslist.org/bik/d/carrboro-lynskey-gr300-titanium-di2/7816599869.html,missing,missing,
208,bike  trailer  $75.00,75,,https://baltimore.craigslist.org/bik/d/essex-bike-trailer-7500/7822771249.html,missing,missing,
209,blue mountain bike,65,,https://pittsburgh.craigslist.org/bik/d/pittsburgh-blue-mountain-bike/7824113076.html,mountain,blue,
210,carpet cleaning specials,50,,https://norfolk.craigslist.org/bik/d/virginia-beach-carpet-cleaning-specials/7819222164.html,missing,missing,
211,jetson ryder pro electric scooter brand new,280,,https://pittsburgh.craigslist.org/bik/d/north-versailles-jetson-ryder-pro/7824109797.html,electric,missing,
212,jetson shield ultra-lock electric scooter brand new,280,,https://pittsburgh.craigslist.org/bik/d/north-versailles-jetson-shield-ultra/7824109758.html,electric,missing,
213,cervelo soloist carbon road bike,1800,,https://washingtondc.craigslist.org/nva/bik/d/reston-cervelo-soloist-carbon-road-bike/7824108087.html,road,missing,
214,jetson bolt pro folding electric bike with 30 miles max operating range & 15.5 m,265,,https://pittsburgh.craigslist.org/bik/d/north-versailles-jetson-bolt-pro/7824109711.html,electric,missing,
215,"diamondback- luster 1 women's 26"", 21 speed hybrid comfort bike",350,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-diamondback-luster-womens/7824108707.html,missing,missing,
216,"schwinn women's 28"" (700c) 21 speed hybrid/comfort bike",295,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-schwinn-womens-21-speed/7824108610.html,missing,missing,
217,"fuji- dynamite 24"" girl's 7 speed hybrid",275,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-fuji-dynamite-24-girls/7824108565.html,missing,missing,
218,travel trac real axiom bike bicycle stationary cycling trainer,50,,https://raleigh.craigslist.org/bik/d/carrboro-travel-trac-real-axiom-bike/7823533983.html,missing,missing,
219,vintage sears spaceliner and sears flightliner sale or trade,50,,https://pittsburgh.craigslist.org/bik/d/elco-vintage-sears-spaceliner-and-sears/7824105493.html,missing,missing,
220,pinarello prince 55cm,550,,https://raleigh.craigslist.org/bik/d/wake-forest-pinarello-prince-55cm/7823344368.html,missing,missing,
221,onguard 8031 doberman bike lock,20,,https://washingtondc.craigslist.org/nva/bik/d/vienna-onguard-8031-doberman-bike-lock/7817368734.html,missing,missing,
222,kid's spiderman bicycle,50,,https://martinsburg.craigslist.org/bik/d/martinsburg-kids-spiderman-bicycle/7824100110.html,missing,missing,
223,mongoose  big daddy,50,,https://lancaster.craigslist.org/bik/d/columbia-mongoose-big-daddy/7824095622.html,missing,missing,
224,like new gotrax f2 foldable electric bike 2.0,775,,https://washingtondc.craigslist.org/doc/bik/d/rockville-like-new-gotrax-f2-foldable/7822953236.html,electric,missing,
225,2022 orbea rise h15 e-bike large,3200,2022.0,https://washingtondc.craigslist.org/nva/bik/d/arlington-2022-orbea-rise-h15-bike-large/7823377614.html,missing,missing,3.0
226,moped,0,,https://norfolk.craigslist.org/bik/d/virginia-beach-moped/7824089089.html,missing,missing,
227,townie electra 7spd,0,,https://norfolk.craigslist.org/bik/d/virginia-beach-townie-electra-7spd/7823209492.html,missing,missing,
228,ibis hakka mx v1 - 61cm (bone white/teal),1500,,https://raleigh.craigslist.org/bik/d/holly-springs-ibis-hakka-mx-v1-61cm/7824088034.html,missing,missing,
229,avigo one eight 18 inch bike,30,,https://washingtondc.craigslist.org/nva/bik/d/leesburg-avigo-one-eight-18-inch-bike/7818797678.html,missing,missing,
230,"specialized turbo vado 3.0 hardtail ebike, size l",1200,,https://washingtondc.craigslist.org/mld/bik/d/baltimore-specialized-turbo-vado-30/7824084882.html,missing,missing,
231,schwinn mountain bike,60,,https://washingtondc.craigslist.org/nva/bik/d/schwinn-mountain-bike/7822966438.html,mountain,missing,
232,giant liv ladies comfort hybrid - aluminum - 700c wheels,185,,https://raleigh.craigslist.org/bik/d/holly-springs-giant-liv-ladies-comfort/7824081244.html,missing,missing,
233,scott 2016 spark 930 *carbon* 29er hydraulic disc *large* nice,1380,2016.0,https://raleigh.craigslist.org/bik/d/holly-springs-scott-2016-spark-930/7824079679.html,missing,missing,9.0
234,mongoose mountain bike with pump,50,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-mongoose-mountain-bike-with/7817172865.html,mountain,missing,
235,ghost square cross *** new condition*** hydraulic disc / large aluminum frame 70,380,,https://raleigh.craigslist.org/bik/d/holly-springs-ghost-square-cross-new/7824078667.html,missing,missing,
236,cannondale criterium 1988,200,1988.0,https://washingtondc.craigslist.org/nva/bik/d/arlington-cannondale-criterium-1988/7823107835.html,missing,missing,37.0
237,"21"" mountain bike",50,,https://morgantown.craigslist.org/bik/d/oliver-21-mountain-bike/7824076156.html,mountain,missing,
238,tag along bike,20,,https://pittsburgh.craigslist.org/bik/d/uniontown-tag-along-bike/7824075991.html,missing,missing,
239,cannondale 29,1,,https://winstonsalem.craigslist.org/bik/d/winston-salem-cannondale-29/7823244628.html,missing,missing,
240,damocles isp. 900 obo,900,,https://raleigh.craigslist.org/bik/d/cary-damocles-isp-900-obo/7823248875.html,missing,missing,
241,cannondale,1,,https://raleigh.craigslist.org/bik/d/cary-cannondale/7823288518.html,missing,missing,
242,chicago 3.5 speed factory custom/$300,300,,https://baltimore.craigslist.org/bik/d/belcamp-chicago-35-speed-factory-custom/7820892755.html,missing,missing,
243,"all terra 26,21speed mountain /$200",200,,https://baltimore.craigslist.org/bik/d/belcamp-all-terra-2621speed-mountain-200/7820775855.html,mountain,missing,
244,trek verve 2,250,,https://york.craigslist.org/bik/d/hanover-trek-verve/7824073793.html,missing,missing,
245,tour easy recumbent bike,450,,https://baltimore.craigslist.org/bik/d/towson-tour-easy-recumbent-bike/7824069411.html,missing,missing,
246,blue 7300 trek bike,320,,https://washingtondc.craigslist.org/mld/bik/d/rockville-blue-7300-trek-bike/7817723829.html,missing,blue,
247,"fuji sunfire 19"" aluminum frame mountain bike",180,,https://harrisburg.craigslist.org/bik/d/new-oxford-fuji-sunfire-19-aluminum/7824068165.html,mountain,missing,
248,giant rincon blue/silver size 17 and accessories,120,,https://washingtondc.craigslist.org/doc/bik/d/washington-giant-rincon-blue-silver/7823274725.html,missing,missing,
249,e-joe epik swan folding e-bike,300,,https://washingtondc.craigslist.org/doc/bik/d/washington-joe-epik-swan-folding-bike/7823277072.html,missing,missing,
250,"26"" huffy cranbrook beach cruiser",85,,https://norfolk.craigslist.org/bik/d/chesapeake-26-huffy-cranbrook-beach/7823453239.html,beach,missing,
251,"20"" se mini ripper bmx race bike",190,,https://norfolk.craigslist.org/bik/d/chesapeake-20-se-mini-ripper-bmx-race/7823344105.html,bmx,missing,
252,"26"" trek lime auto shifting beach cruiser bicycle",200,,https://norfolk.craigslist.org/bik/d/chesapeake-26-trek-lime-auto-shifting/7823345394.html,beach,missing,
253,"20"" reproduction schwinn sting - ray muscle bike",140,,https://norfolk.craigslist.org/bik/d/chesapeake-20-reproduction-schwinn/7823350789.html,missing,missing,
254,"20"" felt sector mini bmx race bike",210,,https://norfolk.craigslist.org/bik/d/chesapeake-20-felt-sector-mini-bmx-race/7823459035.html,bmx,missing,
255,"1958 ladies schwinn spitfire with helmet, u-lock, and upgraded seat",300,1958.0,https://raleigh.craigslist.org/bik/d/durham-1958-ladies-schwinn-spitfire/7824064835.html,missing,missing,67.0
256,gary fisher 24speed with 29inch wheels and disc brakes,500,,https://lancaster.craigslist.org/bik/d/lancaster-gary-fisher-24speed-with/7824064531.html,missing,missing,
257,huffy fairmont girls bike - 20 inch,70,,https://washingtondc.craigslist.org/nva/bik/d/fairfax-huffy-fairmont-girls-bike-20/7820762492.html,missing,missing,
258,collector wtb schwinn stingrays paying cash $$$,0,,https://norfolk.craigslist.org/bik/d/hampton-collector-wtb-schwinn-stingrays/7824061808.html,missing,missing,
259,kid’s bike (boys),35,,https://washingtondc.craigslist.org/nva/bik/d/reston-kids-bike-boys/7818956343.html,missing,missing,
260,collector wtb schwinn stingrays paying cash $$$,0,,https://norfolk.craigslist.org/bik/d/hampton-collector-wtb-schwinn-stingrays/7824060530.html,missing,missing,
261,specialized crossroads bike / bicycle,190,,https://washingtondc.craigslist.org/nva/bik/d/springfield-specialized-crossroads-bike/7821529714.html,missing,missing,
262,"56cm (m/l) carbon fiber felt fr5 road bike, excellent condition",1200,,https://washingtondc.craigslist.org/nva/bik/d/springfield-56cm-l-carbon-fiber-felt/7822981278.html,road,missing,
263,"new $5500 small specialized turbo vado 5.0 igh belt e-bike, upgraded",3990,,https://washingtondc.craigslist.org/nva/bik/d/springfield-new-5500-small-specialized/7821802542.html,missing,missing,
264,"new giant lafree e+ 1 e-bike, disc, belt drive, large",1650,,https://washingtondc.craigslist.org/nva/bik/d/springfield-new-giant-lafree-1-bike/7824058931.html,missing,missing,
265,2022 cannondale caad13 105 bike 56cm,1190,2022.0,https://baltimore.craigslist.org/bik/d/towson-2022-cannondale-caad-bike-56cm/7822124666.html,missing,missing,3.0
266,men's cycling jerseys/kit-all sizes!,40,,https://norfolk.craigslist.org/bik/d/chesapeake-mens-cycling-jerseys-kit-all/7820736710.html,missing,missing,
267,zebrakenko wind 10 speed golden sports,75,,https://delaware.craigslist.org/bik/d/north-east-zebrakenko-wind-10-speed/7824049227.html,missing,missing,
268,tandem bicycle by columbia,175,,https://washingtondc.craigslist.org/nva/bik/d/annandale-tandem-bicycle-by-columbia/7823344520.html,missing,missing,
269,1952 columbia  reissue ballon tire bike,100,1952.0,https://pittsburgh.craigslist.org/bik/d/irwin-1952-columbia-reissue-ballon-tire/7822289254.html,missing,missing,73.0
270,classic 10-speed ralrigh rapide,50,,https://greensboro.craigslist.org/bik/d/jamestown-classic-10-speed-ralrigh/7824043196.html,missing,missing,
271,2023 trek 7.3 fx disc bicycle large frame,550,2023.0,https://richmond.craigslist.org/bik/d/richmond-2023-trek-73-fx-disc-bicycle/7824040974.html,missing,missing,2.0
272,"schwinn 10 speed men's 27"" road bike bicycle",100,,https://baltimore.craigslist.org/bik/d/pikesville-schwinn-10-speed-mens-27/7822901288.html,road,missing,
273,bike rack,40,,https://lancaster.craigslist.org/bik/d/lititz-bike-rack/7824030908.html,missing,missing,
274,specialized bike-27 speed-fully tuned-rides great,295,,https://washingtondc.craigslist.org/nva/bik/d/fairfax-station-specialized-bike-27/7824029466.html,missing,missing,
275,trek 2300 slr ultegra groupset-54cm sl frame,575,,https://washingtondc.craigslist.org/nva/bik/d/fairfax-station-trek-2300-slr-ultegra/7824029238.html,missing,missing,
276,gas powered bike 100cc,400,,https://pittsburgh.craigslist.org/bik/d/pittsburgh-gas-powered-bike-100cc/7820001338.html,missing,missing,
277,bike,400,,https://pittsburgh.craigslist.org/bik/d/pittsburgh-bike/7820070184.html,missing,missing,
278,ross bicycle,45,,https://roanoke.craigslist.org/bik/d/cloverdale-ross-bicycle/7821303866.html,missing,missing,
279,"vintage schwinn 10-speed bike, needs work",20,,https://washingtondc.craigslist.org/nva/bik/d/vintage-schwinn-10-speed-bike-needs-work/7823464045.html,missing,missing,
280,specialized ruby women's full carbon road bike,1400,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-specialized-ruby-womens-full/7817302914.html,road,missing,
281,vintage schwinn breeze womens bike single speed,100,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-vintage-schwinn-breeze/7817302846.html,missing,missing,
282,"raleigh grand prix, reynolds 531, shimano 105’s",200,,https://raleigh.craigslist.org/bik/d/raleigh-raleigh-grand-prix-reynolds-531/7824016343.html,missing,missing,
283,kid huffy bike,45,,https://richmond.craigslist.org/bik/d/richmond-kid-huffy-bike/7822623855.html,kid,missing,
284,@ trek bicycle for sale,600,,https://norfolk.craigslist.org/bik/d/virginia-beach-trek-bicycle-for-sale/7824013074.html,missing,missing,
285,"huffy cranbrook adult cruiser bike, 26"" wheels, comfort saddle",90,,https://delaware.craigslist.org/bik/d/dover-huffy-cranbrook-adult-cruiser/7824012616.html,missing,missing,
286,vintage pair of schwinns 60/70s **,500,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-vintage-pair-of-schwinns/7816854476.html,missing,missing,
287,schwinn varsity bike obo,300,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-schwinn-varsity-bike-obo/7816854351.html,missing,missing,
288,schwinn wayfarer cruiser 27',140,,https://winstonsalem.craigslist.org/bik/d/winston-salem-schwinn-wayfarer-cruiser/7820263048.html,missing,missing,
289,schwinn dbx mountain bike,100,,https://winstonsalem.craigslist.org/bik/d/winston-salem-schwinn-dbx-mountain-bike/7820262973.html,mountain,missing,
290,"20"" girls huffy bike",45,,https://pittsburgh.craigslist.org/bik/d/irwin-20-girls-huffy-bike/7822299818.html,missing,missing,
291,scott hydro bike,400,,https://washingtondc.craigslist.org/mld/bik/d/germantown-scott-hydro-bike/7816854178.html,missing,missing,
292,@ trek bicycle for sale,500,,https://norfolk.craigslist.org/bik/d/virginia-beach-trek-bicycle-for-sale/7824010108.html,missing,missing,
293,men’s bike,500,,https://raleigh.craigslist.org/bik/d/durham-mens-bike/7818498273.html,missing,missing,
294,north woods springdale,160,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-north-woods-springdale/7822137696.html,missing,missing,
295,planet bike xl***,250,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-planet-bike-xl/7816854228.html,missing,missing,
296,2021 cervelo r series - 56cm,2600,2021.0,https://pittsburgh.craigslist.org/bik/d/murrysville-2021-cervelo-series-56cm/7824008978.html,missing,missing,4.0
297,70s schwinn varsity bike **,300,,https://washingtondc.craigslist.org/mld/bik/d/germantown-70s-schwinn-varsity-bike/7816854330.html,missing,missing,
298,bridgestone 200 bicycle ***,120,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-bridgestone-200-bicycle/7816854508.html,missing,missing,
299,fuji captiva cruiser great condition,300,,https://washingtondc.craigslist.org/mld/bik/d/derwood-fuji-captiva-cruiser-great/7816854388.html,missing,missing,
300,se women’s bike*,220,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-se-womens-bike/7816854295.html,missing,missing,
301,upgraded trek superfly hardtail,700,,https://baltimore.craigslist.org/bik/d/baltimore-upgraded-trek-superfly/7822767618.html,missing,missing,
302,xpremium lectric electric bike w/ 4 battery packs + cargo package.,1350,,https://washingtondc.craigslist.org/doc/bik/d/washington-xpremium-lectric-electric/7823336803.html,electric,missing,
303,bike for sale pickup at kempsville library virginia beach or bingo cit,45,,https://norfolk.craigslist.org/bik/d/virginia-beach-bike-for-sale-pickup-at/7824005552.html,beach,missing,
304,beach cruiser bike,50,,https://norfolk.craigslist.org/bik/d/suffolk-beach-cruiser-bike/7816432111.html,beach,missing,
305,2021 giant contend ar 4,750,2021.0,https://washingtondc.craigslist.org/nva/bik/d/alexandria-2021-giant-contend-ar/7823996782.html,missing,missing,4.0
306,"niner one9 xl extra large 29"" single speed",800,,https://richmond.craigslist.org/bik/d/manakin-sabot-niner-one9-xl-extra-large/7823996411.html,missing,missing,
307,jamis ventura road bike 58cm,600,,https://richmond.craigslist.org/bik/d/manakin-sabot-jamis-ventura-road-bike/7818685410.html,road,missing,
308,lynskey livewire titanium mountain 29er bike xl,2400,,https://richmond.craigslist.org/bik/d/manakin-sabot-lynskey-livewire-titanium/7818685235.html,mountain,missing,
309,"trek 7300 hybrid 15""",280,,https://richmond.craigslist.org/bik/d/manakin-sabot-trek-7300-hybrid-15/7823996265.html,missing,missing,
310,specialized tricross gravel cyclocross bike 58cm,800,,https://richmond.craigslist.org/bik/d/manakin-sabot-specialized-tricross/7820635034.html,missing,missing,
311,dirt jump bike - brand new frame,750,,https://washingtondc.craigslist.org/mld/bik/d/garrett-park-dirt-jump-bike-brand-new/7823994467.html,missing,missing,
312,gas bike,250,,https://norfolk.craigslist.org/bik/d/newport-news-gas-bike/7823993731.html,missing,missing,
313,specialized globe city bike,150,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-specialized-globe-city-bike/7816360874.html,missing,missing,
314,26” raleigh mtb,30,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-26-raleigh-mtb/7816360792.html,missing,missing,
315,"schwinn ranger 24"" bike boys - 21-speed",100,,https://raleigh.craigslist.org/bik/d/durham-schwinn-ranger-24-bike-boys-21/7819190883.html,missing,missing,
316,"dbx 26"" hybrid bike - beater",40,,https://raleigh.craigslist.org/bik/d/durham-dbx-26-hybrid-bike-beater/7817802692.html,missing,missing,
317,"in very good condition a 26in blue schwinn adult tricycle, trike (pic)",235,,https://raleigh.craigslist.org/bik/d/wake-forest-in-very-good-condition-26in/7823985486.html,missing,blue,
318,women/girls mongoose bike!,225,,https://baltimore.craigslist.org/bik/d/ellicott-city-women-girls-mongoose-bike/7823984218.html,missing,missing,
319,nice 21 speed bike,85,,https://winstonsalem.craigslist.org/bik/d/winston-salem-nice-21-speed-bike/7815933692.html,missing,missing,
320,bicycle trailer kids car. good condition with no issues. pickup at kem,50,,https://norfolk.craigslist.org/bik/d/virginia-beach-bicycle-trailer-kids-car/7823982294.html,missing,missing,
321,"2021 schwinn sting - ray ""orange krate"" 20"" bicycle",520,2021.0,https://norfolk.craigslist.org/bik/d/chesapeake-2021-schwinn-sting-ray/7816123527.html,missing,missing,4.0
322,diamondback wildwood deluxe silver bike,35,,https://baltimore.craigslist.org/bik/d/baltimore-diamondback-wildwood-deluxe/7823980005.html,missing,silver,
323,"big wheel minnie mouse 16"" front",50,,https://raleigh.craigslist.org/bik/d/chapel-hill-big-wheel-minnie-mouse-16/7823979956.html,missing,missing,
324,trek stache 7 29+ winter mtb,700,,https://washingtondc.craigslist.org/nva/bik/d/dunn-loring-trek-stache-29-winter-mtb/7819392372.html,missing,missing,
325,trek 1000 aluminum framed bicycle,225,,https://lancaster.craigslist.org/bik/d/lancaster-trek-1000-aluminum-framed/7823306343.html,missing,missing,
326,pacific mountain bicycle (just serviced!!!),75,,https://lancaster.craigslist.org/bik/d/lancaster-pacific-mountain-bicycle-just/7817254232.html,mountain,missing,
327,schwinn bicycle -- (recently serviced!!),225,,https://lancaster.craigslist.org/bik/d/lancaster-schwinn-bicycle-recently/7823305667.html,missing,missing,
328,schwinn 100th anniversary cruiser bicycle,169,,https://lancaster.craigslist.org/bik/d/lancaster-schwinn-100th-anniversary/7819618474.html,missing,missing,
329,raleigh bicycle - (just serviced!),175,,https://lancaster.craigslist.org/bik/d/lancaster-raleigh-bicycle-just-serviced/7822079663.html,missing,missing,
330,schwinn bicycle,95,,https://lancaster.craigslist.org/bik/d/lancaster-schwinn-bicycle/7816527079.html,missing,missing,
331,large 60cm raleigh single speed road bike with riser bars,250,,https://washingtondc.craigslist.org/doc/bik/d/washington-large-60cm-raleigh-single/7822619228.html,road,missing,
332,vintage 54cm ladies/stepthru/mixte raleigh 12-spd road cruiser,400,,https://washingtondc.craigslist.org/doc/bik/d/washington-vintage-54cm-ladies-stepthru/7822619408.html,road,missing,
333,medium 54cm shogun roadster 8-speed bike,200,,https://washingtondc.craigslist.org/doc/bik/d/washington-medium-54cm-shogun-roadster/7822619498.html,missing,missing,
334,classic styling schwinn 10-speed,50,,https://raleigh.craigslist.org/bik/d/chapel-hill-classic-styling-schwinn-10/7823973627.html,missing,missing,
335,"girls' schwinn signature joy 24""",125,,https://washingtondc.craigslist.org/doc/bik/d/washington-girls-schwinn-signature-joy/7823972226.html,missing,missing,
336,"blue boy's schwinn thrasher 24""",125,,https://washingtondc.craigslist.org/doc/bik/d/washington-blue-boys-schwinn-thrasher-24/7823972096.html,missing,blue,
337,2021 s4 stumpjumper evo - carbon everything,2400,2021.0,https://roanoke.craigslist.org/bik/d/roanoke-2021-s4-stumpjumper-evo-carbon/7823968669.html,missing,missing,4.0
338,vintage schwinn (starlet iii) women’s bicycle,200,,https://raleigh.craigslist.org/bik/d/durham-vintage-schwinn-starlet-iii/7819319871.html,missing,missing,
339,trek alpha aluminum 2.1 wsd road bike 42.5cm,250,,https://washingtondc.craigslist.org/nva/bik/d/chantilly-trek-alpha-aluminum-21-wsd/7823966565.html,road,missing,
340,specialized dolce elite,300,,https://washingtondc.craigslist.org/nva/bik/d/springfield-specialized-dolce-elite/7823414977.html,missing,missing,
341,subrosa bmx bike 2021,200,2021.0,https://raleigh.craigslist.org/bik/d/garner-subrosa-bmx-bike-2021/7822970124.html,bmx,missing,4.0
342,"mongoose sycamore 21-speed bike, needs work",40,,https://washingtondc.craigslist.org/nva/bik/d/mongoose-sycamore-21-speed-bike-needs/7816065974.html,missing,missing,
343,"strider 12"" balance bike",40,,https://pittsburgh.craigslist.org/bik/d/pittsburgh-strider-12-balance-bike/7823957590.html,missing,missing,
344,allen sports deluxe child bike trailer - like new,100,,https://pittsburgh.craigslist.org/bik/d/pittsburgh-allen-sports-deluxe-child/7823957498.html,missing,missing,
345,schwin paramount series r30,195,,https://norfolk.craigslist.org/bik/d/hampton-schwin-paramount-series-r30/7818236103.html,missing,missing,
346,mongose racing bike,175,,https://norfolk.craigslist.org/bik/d/hampton-mongose-racing-bike/7816989475.html,missing,missing,
347,huffy child's bicycle,45,,https://norfolk.craigslist.org/bik/d/hampton-huffy-childs-bicycle/7816989667.html,missing,missing,
348,huffy child's bicycle,30,,https://norfolk.craigslist.org/bik/d/hampton-huffy-childs-bicycle/7816989751.html,missing,missing,
349,"royce union  26"" 21 speed mountain bike",175,,https://norfolk.craigslist.org/bik/d/hampton-royce-union-speed-mountain-bike/7816404679.html,mountain,missing,
